creation_date,entity_id,position,impacto,morada,motivo,periodos_condicionamentos,restricao_circulacao,periodos_condicionamentos['date_max']
2023-05-08T09:18:48.000Z,EMEL.condicionamentoTransito.COND-2023-2804-1,"{""type"":""GeometryCollection"",""geometries"":[{""coordinates"":[[[-9.106604637,38.761265869],[-9.106475891,38.761090184]]],""type"":""MultiLineString""}]}",Relevante,Rua Almada Negreiros,OBRA - PASSEIO E ESTACION.,"[{""end_date"":""1727737140000"",""date_min"":""2023-05-08"",""hour_max"":""23:59:00"",""date_max"":""2024-09-30"",""start_date"":""1683500400000"",""hour_min"":""00:00:00""}]",Estreitamento de via,"[""2024-09-30""]"
2023-05-23T14:11:36.000Z,EMEL.condicionamentoTransito.COND-2023-3244-1,"{""type"":""GeometryCollection"",""geometries"":[{""coordinates"":[[[-9.182534867,38.773543785],[-9.181531721,38.772673872],[-9.180812889,38.77301682],[-9.181687289,38.774033106],[-9.182534867,38.773543785]]],""type"":""MultiLineString""}]}",Relevante,Rua do Rio Zêzere,ACESSO DE VEÍCULOS À OBRA,"[{""end_date"":""1756659600000"",""date_min"":""2023-05-24"",""hour_max"":""18:00:00"",""date_max"":""2025-08-31"",""start_date"":""1684911600000"",""hour_min"":""08:00:00""}]",Cortes temporários,"[""2025-08-31""]"
2023-05-29T17:03:20.000Z,EMEL.condicionamentoTransito.COND-2022-6560-3,"{""type"":""GeometryCollection"",""geometries"":[{""coordinates"":[[[-9.151262729,38.74695777],[-9.150876491,38.74704563],[-9.150624363,38.745874157],[-9.150956957,38.745782111],[-9.151262729,38.74695777]]],""type"":""MultiLineString""}]}",Relevante,"Loteamento das Forças Armadas, lote 7, Rua Sanches Coelho e Rua da Cruz Vermelha",CARGAS E DESCARGAS/OBRAS,"[{""end_date"":""1729447200000"",""date_min"":""2023-05-29"",""hour_max"":""19:00:00"",""date_max"":""2024-10-20"",""start_date"":""1685343600000"",""hour_min"":""08:00:00""}]",Mantém perfil de via,"[""2024-10-20""]"
2023-06-06T17:05:25.000Z,EMEL.condicionamentoTransito.COND-2023-3594-1,"{""type"":""GeometryCollection"",""geometries"":[{""coordinates"":[[[-9.151055574,38.721972654],[-9.151041827,38.721958791]]],""type"":""MultiLineString""}]}",Relevante,Vários locais,CARGAS E DESCARGAS,"[{""end_date"":""1717801140000"",""date_min"":""2023-06-08"",""hour_max"":""23:59:00"",""date_max"":""2024-06-07"",""start_date"":""1686178800000"",""hour_min"":""00:00:00""}]",Estreitamento de via,"[""2024-06-07""]"
2023-06-09T13:56:35.000Z,EMEL.condicionamentoTransito.COND-2023-3658-1,"{""type"":""GeometryCollection"",""geometries"":[{""coordinates"":[[[-9.155490375,38.717257828],[-9.155361629,38.71721388]]],""type"":""MultiLineString""}]}",Pouco relevante,Tv. de Santa Quitéria 7,ACESSO DE VEÍCULOS À OBRA,"[{""end_date"":""1740765600000"",""date_min"":""2023-06-23"",""hour_max"":""18:00:00"",""date_max"":""2025-02-28"",""start_date"":""1687503600000"",""hour_min"":""08:00:00""}]",Mantém perfil de via,"[""2025-02-28""]"
2023-06-15T10:43:06.000Z,EMEL.condicionamentoTransito.COND-2022-4593-P-2,"{""type"":""GeometryCollection"",""geometries"":[{""coordinates"":[[[-9.167977501,38.784563634],[-9.166293074,38.783158602],[-9.164630104,38.781845542],[-9.164361883,38.780758276],[-9.164436985,38.778851339],[-9.164587189,38.7770029],[-9.163557221,38.775288242]]],""type"":""MultiLineString""}]}",Relevante,Calçada de Carriche,OBRAS NO SUBSOLO - FAIXA DE RODAGEM,"[{""end_date"":""1713826740000"",""date_min"":""2023-06-25"",""hour_max"":""23:59:00"",""date_max"":""2024-04-22"",""start_date"":""1687647600000"",""hour_min"":""00:00:00""}]",Estreitamento de via,"[""2024-04-22""]"
2023-07-21T00:42:13.000Z,EMEL.condicionamentoTransito.COND-2023-4457-1,"{""type"":""GeometryCollection"",""geometries"":[{""coordinates"":[[[-9.147286164,38.754768412],[-9.147122549,38.754824887]]],""type"":""MultiLineString""}]}",Relevante,"Rua Eugénio de Castro,16 {Escoa Básica de Stº. António, nº.33}",RESERVA DE ESTACIONAMENTO,"[{""end_date"":""1731283140000"",""date_min"":""2023-08-11"",""hour_max"":""23:59:00"",""date_max"":""2024-11-10"",""start_date"":""1691708400000"",""hour_min"":""00:00:00""}]",Estacionamento,"[""2024-11-10""]"
2023-10-11T09:32:00.000Z,EMEL.condicionamentoTransito.COND-2021-6916-PA-6,"{""type"":""GeometryCollection"",""geometries"":[{""coordinates"":[[[-9.151161778,38.721888334],[-9.151141661,38.721899321]]],""type"":""MultiLineString""}]}",Relevante,Cidade de Lisboa,CARGAS E DESCARGAS/OBRAS,"[{""end_date"":""1728860340000"",""date_min"":""2023-10-14"",""hour_max"":""23:59:00"",""date_max"":""2024-10-13"",""start_date"":""1697238000000"",""hour_min"":""00:00:00""}]",Estreitamento de via,"[""2024-10-13""]"
2023-10-11T13:59:25.000Z,EMEL.condicionamentoTransito.COND-2023-3821-3,"{""type"":""GeometryCollection"",""geometries"":[{""coordinates"":[[[-9.158772326,38.712214982],[-9.158838375,38.712113999]]],""type"":""MultiLineString""}]}",Relevante,R. da Bela Vista à Lapa 43-45,ACESSO DE VEÍCULOS À OBRA,"[{""end_date"":""1746028800000"",""date_min"":""2023-10-11"",""hour_max"":""17:00:00"",""date_max"":""2025-04-30"",""start_date"":""1697007600000"",""hour_min"":""08:00:00""}]",Cortes temporários,"[""2025-04-30""]"
2023-10-12T14:31:26.000Z,EMEL.condicionamentoTransito.COND-2023-6083-1,"{""type"":""GeometryCollection"",""geometries"":[{""coordinates"":[[[-9.104745095,38.75343947],[-9.10472632,38.753251216]]],""type"":""MultiLineString""}]}",Relevante,"Rua Vale Formoso de Cima, Edifício A, lote 1 - Urbanização de Marvila",OBRA - PASSEIO E ESTACION.,"[{""end_date"":""1760741940000"",""date_min"":""2023-10-18"",""hour_max"":""23:59:00"",""date_max"":""2025-10-17"",""start_date"":""1697583600000"",""hour_min"":""00:00:00""}]",Estacionamento,"[""2025-10-17""]"
